instrumento,data,cota_na_m,evento,magnitude_aprox_m
CTHTLCEPZ003,2020-05-12,1208.803,Outlier pontual forte,4.630000000000109
CTHTLCEPZ004,2020-05-12,1270.08,Outlier pontual forte,6.289999999999964
0027-INA-018,2021-01-25,922.743,Outlier pontual forte,6.2999999999999545
0027-INA-018,2026-02-25,925.006154583333,Outlier pontual forte,5.351634458333024
0027-INA-020,2015-08-04,949.715,Outlier pontual forte,3.0499999999999545
0029-INA-024,2017-06-13,908.289,Outlier pontual forte,38.710000000000036
1226-INA-029,2015-06-25,986.607,Outlier pontual forte,3.75
1226-INA-029,2015-07-02,982.977,Outlier pontual forte,7.310000000000059
1226-INA-029,2015-07-08,993.1220000000001,Outlier pontual forte,2.8050000000000637
1226-INA-029,2015-07-16,982.997,Outlier pontual forte,7.389999999999986
1226-INA-029,2015-07-18,986.767,Outlier pontual forte,3.6299999999999955
1226-INA-029,2015-08-04,980.312,Outlier pontual forte,10.105000000000018
1226-INA-029,2015-08-27,983.107,Outlier pontual forte,3.7000000000000455
1226-INA-029,2015-11-12,1020.057,Outlier pontual forte,36.89999999999998
1226-INA-029,2015-12-02,976.777,Outlier pontual forte,6.569999999999936
1226-INA-029,2016-02-17,970.207,Outlier pontual forte,14.610000000000014
1226-INA-029,2016-02-29,982.047,Outlier pontual forte,4.189999999999941
1226-INA-029,2016-04-13,970.247,Outlier pontual forte,16.139999999999986
1226-INA-029,2016-05-17,970.247,Outlier pontual forte,16.100000000000023
1226-INA-029,2016-05-18,986.277,Outlier pontual forte,16.030000000000086
1226-INA-029,2016-05-19,970.247,Outlier pontual forte,16.030000000000086
1226-INA-029,2016-07-12,970.247,Outlier pontual forte,15.850000000000023
1226-INA-029,2016-09-27,970.247,Outlier pontual forte,15.420000000000073
1226-INA-029,2017-01-02,970.247,Outlier pontual forte,14.940000000000055
1226-INA-029,2017-02-02,970.247,Outlier pontual forte,14.509999999999991
1226-INA-029,2017-04-06,977.757,Outlier pontual forte,6.660000000000082
1226-INA-029,2017-05-05,970.247,Outlier pontual forte,13.770000000000095
1226-INA-029,2017-07-04,970.247,Outlier pontual forte,13.31000000000006
1226-INA-029,2017-09-01,970.247,Outlier pontual forte,12.800000000000068
1226-INA-029,2017-10-18,970.247,Outlier pontual forte,12.330000000000041
1226-INA-029,2017-12-15,970.247,Outlier pontual forte,11.759999999999991
1226-INA-029,2018-01-10,975.977,Outlier pontual forte,5.7450000000000045
1226-INA-029,2018-01-24,970.247,Outlier pontual forte,11.330000000000041
1226-INA-029,2018-02-07,970.247,Outlier pontual forte,11.410000000000082
1226-INA-029,2018-02-23,970.247,Outlier pontual forte,11.264999999999986
1226-INA-029,2018-02-27,997.477,Outlier pontual forte,16.090000000000032
