instrumento,nome_original,natureza,situacao_cadastro,situacao_operacional,situacao_hga_ultima,data_atualizacao_cadastro,localidade,x,y,profundidade_m,fonte_recente,leituras,primeira,ultima,dias_sem_leitura,cadencia_mediana_dias,recebimento,repeticao_final_n,repeticao_final_dias,repeticao_no_fundo,zero_auto_persistente,outliers_fortes,datas_futuras,na_negativo,inconsistencia_cota,janela_qaqc_dias,ptr_mais_proximo,dist_ptr_m,status_qaqc,score,motivos
0027-INA-054,INA_N_54,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,656354.42300001,7769471.13199973,206.0,Automático,2318,2014-10-09,2026-08-27,1.0,1.0,RECEBENDO,71,70,False,False,0,0,0,0,90,G00-11PTR014,249.41601360445148,PRIORITÁRIO,7,Últimas leituras possivelmente travadas: 71 valores idênticos consecutivos por 70 dias
0029-INA-120,INA_S_120,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655034.421000013,7765849.25899946,120.0,Automático,1660,2018-09-11,2026-08-27,1.0,1.0,RECEBENDO,58,57,False,False,0,0,0,0,90,G00-11PTR008,1071.9025285454306,PRIORITÁRIO,7,Últimas leituras possivelmente travadas: 58 valores idênticos consecutivos por 57 dias
0029-PM-004,INA_PO_S_04,Poco Monitoramento,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655665.920000002,7764339.62999973,190.0,Manual,390,2018-08-06,2026-08-18,10.0,7.0,RECEBENDO,15,102,False,False,0,0,0,0,180,G00-11PTR020,334.6091153695693,PRIORITÁRIO,7,Últimas leituras possivelmente travadas: 15 valores idênticos consecutivos por 102 dias
30LI014,INA_JM_92/1130-INA-092,INA,Ativo,Ativo,Ativo,2020-10-21,Joao Manoel,656233.340000012,7768634.39999947,55.5,Histórico,51,2013-08-05,2017-01-27,3500.0,19.0,INTERROMPIDO,0,0,False,False,0,0,0,0,180,G00-11PTR009,641.1765813742229,ATENÇÃO,5,Recebimento interrompido (3500 dias sem leitura); confirmar se o instrumento permanece ativo em campo antes de tratar como falha de transmissão
CTHTLCEPZ002,INA_CH_02 / 00CH-INA-002,INA,Ativo,Ativo,Ativo,2020-10-21,Conta Historia,654313.500999999,7761542.74999973,204.0,Histórico,27,2017-03-31,2021-05-27,1919.0,16.0,INTERROMPIDO,0,0,False,False,0,0,0,0,180,G00-11PTR020,3439.5594688752903,ATENÇÃO,5,Recebimento interrompido (1919 dias sem leitura); confirmar se o instrumento permanece ativo em campo antes de tratar como falha de transmissão
CTHTLCEPZ003,INA_CH_03 / 00CH-INA-003,INA,Ativo,Ativo,Ativo,2020-10-21,Conta Historia,654700.732000009,7761698.13099973,283.0,Histórico,30,2017-03-31,2021-05-27,1919.0,16.0,INTERROMPIDO,0,0,False,False,0,0,0,0,180,G00-11PTR020,3146.9136838677114,ATENÇÃO,5,Recebimento interrompido (1919 dias sem leitura); confirmar se o instrumento permanece ativo em campo antes de tratar como falha de transmissão
CTHTLCEPZ004,INA_CH_04 / 00CH-INA-004,INA,Ativo,Ativo,Ativo,2020-10-21,Conta Historia,654572.90100001,7762142.86599973,258.9,Histórico,29,2017-04-20,2020-11-23,2104.0,16.0,INTERROMPIDO,0,0,False,False,0,0,0,0,180,G00-11PTR020,2786.1920297722645,ATENÇÃO,5,Recebimento interrompido (2104 dias sem leitura); confirmar se o instrumento permanece ativo em campo antes de tratar como falha de transmissão
0029-PZ-165,,Piezometro,Ativo,Ativo,Ativo,,Alegria Sul,655118.432000049,7765028.04599973,81.06,Histórico,111,2024-03-03,2026-05-27,93.0,7.0,ATRASADO,13,83,True,False,0,0,0,0,180,G00-11PTR020,758.2014091735366,ATENÇÃO,4,Recebimento atrasado (93 dias sem leitura) | Leitura repetida no limite de profundidade (81.06 m ≈ 81.06 m); pode indicar ponto seco
CTHTLCEPZ001,INA_CH_01 / 00CH-INA-001,INA,Ativo,Ativo,,2020-10-21,Conta Historia,654787.356000007,7761543.17699973,320.0,Histórico,0,,,,,SEM DADOS,0,0,False,False,0,0,0,0,180,G00-11PTR020,3265.6034890370543,ATENÇÃO,4,"Ativo no cadastro, sem leituras encontradas na HGA"
0027-INA-076,INA_N_76B,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,656826.435000005,7769660.62299973,200.0,Manual,180,2011-09-06,2026-06-23,66.0,16.0,ATRASADO,1,0,False,False,0,0,0,0,180,G00-11PTR011,232.7111351573304,ATENÇÃO,3,Recebimento atrasado (66 dias sem leitura)
