inst_id,x,y,localidade,tipo,anos,n,taxa,p,significativo,bombeamento
G00-11PTR007,656471.510000011,7769620.56999947,Alegria Norte,Poco Tubular,8.3,1476,-8.757058275678565,2.5529137554611497e-17,True,True
0027-INA-073,657245.45400001,7769759.35199973,Alegria Norte,INA,9.9,232,-4.253893504531742,5.980270900766689e-36,True,False
0027-INA-076,656826.435000005,7769660.62299973,Alegria Norte,INA,9.9,158,-3.147008516678492,1.3221048465331127e-30,True,False
0027-INA-113,656482.158000007,7769617.84999974,Alegria Norte,INA,9.9,272,-2.967065358067288,5.376838788396065e-35,True,False
1226-INA-030,657370.433000011,7765483.30999973,Cava Germano,INA,10.0,2008,-2.239463793337985,8.600911388871e-18,True,False
0027-INA-135,656702.40500001,7769021.24099973,Alegria Norte,INA,9.1,1790,-2.11136820019041,6.952054355092466e-05,True,False
0027-INA-021B,656460.080000004,7769379.84599973,Alegria Norte,INA,10.0,1909,-1.836880296875647,3.528874723618482e-09,True,False
0027-INA-055,656324.641000002,7769439.76899973,Alegria Norte,INA,10.0,1940,-1.8180555187092382,9.274455980405599e-11,True,False
0027-INA-051B,656662.371000009,7769297.70299973,Alegria Norte,INA,10.0,1511,-1.728111000847615,2.3425569850079194e-08,True,False
0027-INA-020,656536.628000008,7769414.00099974,Alegria Norte,INA,10.0,1961,-1.4993944118319624,9.209231763363371e-07,True,False
0027-INA-085,656900.927000003,7769255.63699973,Alegria Norte,INA,10.0,1527,-1.4563732193084429,1.5882516264539165e-08,True,False
0027-INA-054,656354.42300001,7769471.13199973,Alegria Norte,INA,9.3,1595,-1.4463890372033743,1.1551747366375403e-07,True,False
0028-INA-041,655738.266000006,7768529.16699973,Alegria Centro,INA,10.0,1750,-1.3985426249297306,3.615040555449768e-40,True,False
G00-11PTR008,655401.000000013,7766856.52999947,Alegria Sul,Poco Tubular,9.2,2418,-1.3476844879518322,0.11810665412377283,False,True
0027-INA-034,656064.298000003,7769131.62099973,Alegria Norte,INA,9.6,1778,-1.233965882763346,8.258492055862082e-06,True,False
0027-INA-018,656565.264,7769443.61999974,Alegria Norte,INA,10.0,1964,-1.2142145335390162,2.0728863330065266e-05,True,False
0027-INA-136,656702.40500001,7769021.24099973,Alegria Norte,INA,9.1,1963,-1.1851258394581614,2.934550320758918e-06,True,False
0027-INA-107,657117.26900001,7770146.74199974,Alegria Norte,INA,10.0,1790,-1.1559629843750798,5.1775748135477764e-08,True,False
