instrumento,data,cota_na_m,evento,magnitude_aprox_m
0027-INA-034,,926.872666666667,Acompanhar — A série voltou a variar recentemente e ainda aguarda leituras adicionais coerentes.,
0027-INA-042,2026-08-22,899.645042125,Acompanhar — A série voltou a variar recentemente e ainda aguarda leituras adicionais coerentes.,0.5982891666659498
0027-INA-054,,919.676,Acompanhar — Leituras consecutivas permaneceram constantes por período prolongado.,
30LI008,2026-08-22,1012.134544506,Acompanhar — Mudança recente no comportamento das leituras.,-6.40885676708001
30LI010,,1008.478569841,Acompanhar — Leituras consecutivas permaneceram constantes por período prolongado.,
0027-INA-085,2026-08-12,907.542368708333,Acompanhar — A série voltou a variar recentemente e ainda aguarda leituras adicionais coerentes.,6.805728708332936
0029-PZ-096B,,1013.73157833333,Acompanhar — As leituras recentes apresentam maior oscilação em relação ao comportamento habitual.,
30LI002,,923.770516,Acompanhar — Leituras consecutivas permaneceram constantes por período prolongado.,
0027-INA-107,2026-08-09,924.322855525,Acompanhar — Leitura recente distinta do comportamento habitual. A continuidade da série permitirá avaliar sua representatividade.,-0.19274746666690135
0029-INA-120,,956.47327,Acompanhar — Leituras consecutivas permaneceram constantes por período prolongado.,
0027-INA-136,2026-08-12,912.413370791667,Acompanhar — Leitura recente distinta do comportamento habitual. A continuidade da série permitirá avaliar sua representatividade.,1.3374950833330104
0028-INA-137,2026-08-26,975.571878333333,Acompanhar — Mudança recente no comportamento das leituras.,0.3135849999999891
0028-INA-139,2026-08-13,969.857022375,Acompanhar — Leitura recente distinta do comportamento habitual. A continuidade da série permitirá avaliar sua representatividade.,-0.5176341249999723
0029-INA-154,2026-08-25,967.280432916667,Acompanhar — Mudança recente no comportamento das leituras.,-0.0970200595239703
G00-11PTR009,,959.577,Acompanhar — Leituras consecutivas permaneceram constantes por período prolongado.,
G00-11PTR010,,982.033,Acompanhar — Leituras consecutivas permaneceram constantes por período prolongado.,
G00-11PTR011,,1040.36,Acompanhar — Leituras consecutivas permaneceram constantes por período prolongado.,
G00-11PTR012,,1018.098,Acompanhar — Leituras consecutivas permaneceram constantes por período prolongado.,
G00-11PTR016,,965.709860539754,Acompanhar — As leituras recentes apresentam maior oscilação em relação ao comportamento habitual.,
