instrumento,inst_id,nome_original,natureza,situacao_cadastro,situacao_operacional,fonte_situacao_operacional,localidade,x,y,profundidade_m,data_corte,ptr_mais_proximo,dist_ptr_m,leituras,fonte_recente,modo_monitoramento,ultima,ultima_leitura_cota_m,dias_sem_leitura,cadencia_mediana_dias,limite_atualizacao_dias,recebimento,cota_atual_representativa_m,n_atual_validas,status_qaqc,motivos,sinais_qaqc,flatline_ativo,pos_flatline_pendente,salto_tipo,salto_data,variacao_ultima_m,ruido_recente,conflitos_temporais,conflito_recente,cota_referencia_12m_m,data_referencia_12m,delta_12m_m,classificacao_12m,cota_referencia_90d_m,data_referencia_90d,delta_90d_m,classificacao_90d,mediana_vizinhos_12m_m,diferenca_vizinhos_12m_m,mediana_vizinhos_90d_m,diferenca_vizinhos_90d_m
0027-INA-113,0027-INA-113,INA_N_113,INA,Ativo,Ativo,HGA do snapshot,Alegria Norte,656482.158000007,7769617.84999974,65.4,2026-08-27,G00-11PTR014,358.1331382206857,785,Automático,Automático,2022-10-30,924.667,1397.0,1.0,5,SEM ATUALIZAÇÃO RECENTE,,0,Sem atualização recente,Sem atualização recente — Não há leitura atual dentro da cadência considerada.,,False,False,,,,,11,False,,,,Sem comparação disponível,,,,Sem comparação disponível,,,,
0029-INA-133,0029-INA-133,INA_S_133,INA,Ativo,Ativo,HGA do snapshot,Alegria Sul,656076.604000021,7767422.7349992,25.15,2026-08-27,G00-11PTR005,806.0179617223845,2018,Automático,Automático,2026-08-20,918.7557622,7.0,1.0,5,SEM ATUALIZAÇÃO RECENTE,,0,Sem atualização recente,Sem atualização recente — Não há leitura atual dentro da cadência considerada.,,False,False,,,,,0,False,917.436137833333,2025-08-25,,Sem comparação disponível,920.235489681818,2026-05-27,,Sem comparação disponível,,,,
0029-INA-134,0029-INA-134,INA_S_134,INA,Ativo,Ativo,HGA do snapshot,Alegria Sul,655963.152000024,7767293.2089992,39.7,2026-08-27,G00-11PTR005,645.6427539350154,1889,Automático,Automático,2026-08-20,920.664453266667,7.0,1.0,5,SEM ATUALIZAÇÃO RECENTE,,0,Sem atualização recente,Sem atualização recente — Não há leitura atual dentro da cadência considerada.,,False,False,,,,,0,False,920.319142583333,2025-08-25,,Sem comparação disponível,921.037655666667,2026-05-27,,Sem comparação disponível,,,,
0029-INA-165,0029-INA-165,,INA,Ativo,Ativo,HGA do snapshot,Alegria Sul,655118.432000039,7765028.04599973,76.55,2026-08-27,G00-11PTR020,758.201409182251,107,Manual,Manual,2026-05-27,1011.458,92.0,7.0,45,SEM ATUALIZAÇÃO RECENTE,,0,Sem atualização recente,Sem atualização recente — Não há leitura atual dentro da cadência considerada.,,False,False,,,,,0,False,1011.548,2025-08-25,,Sem comparação disponível,1011.458,2026-05-27,,Sem comparação disponível,,,,
0029-INA-175,0029-INA-175,,INA,Ativo,Ativo,HGA do snapshot,Alegria Sul,655117.003000006,7765027.89999973,96.44,2026-08-27,G00-11PTR020,759.373812681389,112,Manual,Manual,2026-05-27,1001.844,92.0,7.0,45,SEM ATUALIZAÇÃO RECENTE,,0,Sem atualização recente,Sem atualização recente — Não há leitura atual dentro da cadência considerada.,,False,False,,,,,0,False,1007.854,2025-08-25,,Sem comparação disponível,1001.844,2026-05-27,,Sem comparação disponível,,,,
0029-PZ-165,0029-PZ-165,,Piezometro,Ativo,Ativo,HGA do snapshot,Alegria Sul,655118.432000049,7765028.04599973,81.06,2026-08-27,G00-11PTR020,758.2014091735366,111,Manual,Manual,2026-05-27,1006.348,92.0,7.0,45,SEM ATUALIZAÇÃO RECENTE,,0,Sem atualização recente,Sem atualização recente — Não há leitura atual dentro da cadência considerada.,,False,False,,,,,0,False,1007.898,2025-08-25,,Sem comparação disponível,1006.348,2026-05-27,,Sem comparação disponível,,,,
1226-INA-058,1226-INA-058,INA_G_58,INA,Ativo,Ativo,HGA do snapshot,Cava Germano,657667.985000014,7766094.46999947,192.5,2026-08-27,G00-11PTR005,1983.5436607548647,1509,Automático,Automático,2023-06-26,948.06617,1158.0,1.0,5,SEM ATUALIZAÇÃO RECENTE,,0,Sem atualização recente,Sem atualização recente — Não há leitura atual dentro da cadência considerada.,,False,False,,,,,0,False,,,,Sem comparação disponível,,,,Sem comparação disponível,,,,
30LI009,30LI009,INA_JM_63/1130-INA-063,INA,Ativo,Ativo,HGA do snapshot,Joao Manoel,655297.310000014,7768953.75999947,50.1,2026-08-27,G00-11PTR014,1228.2198580780096,284,Automático,Automático,2026-08-21,1008.37031292917,6.0,1.0,5,SEM ATUALIZAÇÃO RECENTE,,1,Sem atualização recente,Sem atualização recente — Não há leitura atual dentro da cadência considerada.,,False,False,,,,,0,False,,,,Sem comparação disponível,1015.70951595833,2026-05-27,,Sem comparação disponível,,,,
30LI014,30LI014,INA_JM_92/1130-INA-092,INA,Ativo,Ativo,HGA do snapshot,Joao Manoel,656233.340000012,7768634.39999947,55.5,2026-08-27,G00-11PTR009,641.1765813742229,51,Manual,Manual,2017-01-27,955.564,3499.0,15.0,60,SEM ATUALIZAÇÃO RECENTE,,0,Sem atualização recente,Sem atualização recente — Não há leitura atual dentro da cadência considerada.,,False,False,,,,,0,False,,,,Sem comparação disponível,,,,Sem comparação disponível,,,,
30LI018,30LI018,INA_JM_91/1130-INA-091,INA,Ativo,Ativo,HGA do snapshot,Joao Manoel,656446.630000012,7768732.93999946,61.35,2026-08-27,G00-11PTR009,420.59972659052596,50,Manual,Manual,2026-04-10,943.499,139.0,20.0,80,SEM ATUALIZAÇÃO RECENTE,,0,Sem atualização recente,Sem atualização recente — Não há leitura atual dentro da cadência considerada.,,False,False,,,,,0,False,,,,Sem comparação disponível,,,,Sem comparação disponível,,,,
